,date,ticker,RealizedVol_3d,Target
4110,2022-01-10,AAPL,0.013975467467035914,0.00996638196369394
18067,2022-01-10,ABT,0.0038134830607565247,0.0026826114563423225
20530,2022-01-10,ACHR,0.010998355664362634,0.011727267298745046
30382,2022-01-10,ACN,0.017277711996157807,0.027202390532982682
11499,2022-01-10,AMZN,0.007827205611200407,0.0013602133624311694
9857,2022-01-10,BRK-B,0.008306213665885888,0.01183286534518682
4931,2022-01-10,COST,0.014349872788121247,0.01682219292167089
27098,2022-01-10,CRM,0.04890306994382255,0.00567333746917544
13141,2022-01-10,CRWD,0.04946408364405511,0.019466233941862178
24635,2022-01-10,CVX,0.004081028423243838,0.00688462293938697
14783,2022-01-10,GOOG,0.025726022985852057,0.008137625823307872
3289,2022-01-10,GOOGL,0.025028480526046604,0.008924388085846433
12320,2022-01-10,HD,0.01328594158551183,0.013172040570827711
26277,2022-01-10,IBM,0.011656104769357693,0.01166956987457948
17246,2022-01-10,INTU,0.01404335266845254,0.017818018614431046
27919,2022-01-10,ISRG,0.006519673827684046,0.0176480964049846
18888,2022-01-10,JNJ,0.008523047682360887,0.01024869288025074
2468,2022-01-10,JPM,0.016486192710845345,0.005386762052635933
5752,2022-01-10,KO,0.007130185580208775,0.003473384903850894
826,2022-01-10,MCD,0.00993517028212543,0.011082127611895209
8215,2022-01-10,META,0.03121816368822398,0.019143342104820743
28740,2022-01-10,MRK,0.013066216429117698,0.013663969949240453
15604,2022-01-10,MSFT,0.02046639475000513,0.004922011751149072
6573,2022-01-10,NFLX,0.009575072463494913,0.01241710360840026
9036,2022-01-10,NVDA,0.04008145460858353,0.027756995463321405
19709,2022-01-10,ORCL,0.02082042988705346,0.009048272710293239
22172,2022-01-10,PEP,0.0016196879520136791,0.0005346279409635521
5,2022-01-10,PG,0.0065146719464287935,0.006587603193805821
29561,2022-01-10,PGR,0.015128633981611024,0.01493986019678554
16425,2022-01-10,PLTR,0.03161851995219828,0.004884477536061669
7394,2022-01-10,PM,0.011924505559565233,0.00314883983593645
22993,2022-01-10,RTX,0.005717691329836476,0.007356400188784891
21351,2022-01-10,TMO,0.013569847826829677,0.025550222103233704
1647,2022-01-10,TSLA,0.016017738411780027,0.03466986436006557
13962,2022-01-10,UNH,0.019258497248565976,0.028045633932204012
23814,2022-01-10,VZ,0.013008298003473069,0.015564417792258149
25456,2022-01-10,WFC,0.018696724086098838,0.0077348485355349305
10678,2022-01-10,WMT,0.008499008704864147,0.006884241228699406
4111,2022-01-11,AAPL,0.00996638196369394,0.009381435482304634
18068,2022-01-11,ABT,0.0026826114563423225,0.0031148740992190146
20531,2022-01-11,ACHR,0.011727267298745046,0.07132501892532421
30383,2022-01-11,ACN,0.027202390532982682,0.014459834226368967
11500,2022-01-11,AMZN,0.0013602133624311694,0.017030333932626786
9858,2022-01-11,BRK-B,0.01183286534518682,0.012368464001075953
4932,2022-01-11,COST,0.01682219292167089,0.020462801149633805
27099,2022-01-11,CRM,0.00567333746917544,0.013352002846220573
13142,2022-01-11,CRWD,0.019466233941862178,0.006156597574635735
24636,2022-01-11,CVX,0.00688462293938697,0.011211630745393338
14784,2022-01-11,GOOG,0.008137625823307872,0.008623593900395524
3290,2022-01-11,GOOGL,0.008924388085846433,0.009031879120284464
12321,2022-01-11,HD,0.013172040570827711,0.013954099192302219
26278,2022-01-11,IBM,0.01166956987457948,0.008968961318555964
17247,2022-01-11,INTU,0.017818018614431046,0.024106642414639026
27920,2022-01-11,ISRG,0.0176480964049846,0.020487925325501054
18889,2022-01-11,JNJ,0.01024869288025074,0.012624527381872372
2469,2022-01-11,JPM,0.005386762052635933,0.005151072454532236
5753,2022-01-11,KO,0.003473384903850894,0.0020225453940704153
827,2022-01-11,MCD,0.011082127611895209,0.0006848063634144798
8216,2022-01-11,META,0.019143342104820743,0.015598533558203573
28741,2022-01-11,MRK,0.013663969949240453,0.018085979839859535
15605,2022-01-11,MSFT,0.004922011751149072,0.0009522521046747819
6574,2022-01-11,NFLX,0.01241710360840026,0.012808354199359911
9037,2022-01-11,NVDA,0.027756995463321405,0.02554529607780338
19710,2022-01-11,ORCL,0.009048272710293239,0.015292546977004478
22173,2022-01-11,PEP,0.0005346279409635521,0.0008648217387001206
6,2022-01-11,PG,0.006587603193805821,0.007039051265244411
29562,2022-01-11,PGR,0.01493986019678554,0.023853512697494958
16426,2022-01-11,PLTR,0.004884477536061669,0.018149910468931742
7395,2022-01-11,PM,0.00314883983593645,0.005366261976930763
22994,2022-01-11,RTX,0.007356400188784891,0.009562983281561214
21352,2022-01-11,TMO,0.025550222103233704,0.02636642060046289
1648,2022-01-11,TSLA,0.03466986436006557,0.03325723934846097
13963,2022-01-11,UNH,0.028045633932204012,0.02027321520307328
23815,2022-01-11,VZ,0.015564417792258149,0.015664003739288064
25457,2022-01-11,WFC,0.0077348485355349305,0.005624917085285292
10679,2022-01-11,WMT,0.006884241228699406,0.006902168345730611
4112,2022-01-12,AAPL,0.009381435482304634,0.008998742383581492
18069,2022-01-12,ABT,0.0031148740992190146,0.009142445355391505
20532,2022-01-12,ACHR,0.07132501892532421,0.06664475938780266
30384,2022-01-12,ACN,0.014459834226368967,0.0013376500800421798
11501,2022-01-12,AMZN,0.017030333932626786,0.016270479637680052
9859,2022-01-12,BRK-B,0.012368464001075953,0.0028886474693885335
4933,2022-01-12,COST,0.020462801149633805,0.02260179390687753
27100,2022-01-12,CRM,0.013352002846220573,0.00849798196806345
13143,2022-01-12,CRWD,0.006156597574635735,0.03473935838132134
24637,2022-01-12,CVX,0.011211630745393338,0.01472963124416485
14785,2022-01-12,GOOG,0.008623593900395524,0.0006611611742911225
3291,2022-01-12,GOOGL,0.009031879120284464,0.0025420829862436082
12322,2022-01-12,HD,0.013954099192302219,0.011416224863193682
26279,2022-01-12,IBM,0.008968961318555964,0.011399203141233667
17248,2022-01-12,INTU,0.024106642414639026,0.0087890664763397
27921,2022-01-12,ISRG,0.020487925325501054,0.012019150950862164
18890,2022-01-12,JNJ,0.012624527381872372,0.002874853947745945
2470,2022-01-12,JPM,0.005151072454532236,0.002705224736668181
5754,2022-01-12,KO,0.0020225453940704153,0.0007220285770819659
828,2022-01-12,MCD,0.0006848063634144798,0.002793594506100793
8217,2022-01-12,META,0.015598533558203573,0.015783176243023365
28742,2022-01-12,MRK,0.018085979839859535,0.019047084191750198
15606,2022-01-12,MSFT,0.0009522521046747819,0.005222958927272459
6575,2022-01-12,NFLX,0.012808354199359911,0.004265127504437937
9038,2022-01-12,NVDA,0.02554529607780338,0.0052972331788878006
19711,2022-01-12,ORCL,0.015292546977004478,0.015231085305799167
22174,2022-01-12,PEP,0.0008648217387001206,0.0008101713689985786
7,2022-01-12,PG,0.007039051265244411,0.00861788463094737
29563,2022-01-12,PGR,0.023853512697494958,0.010314423214791599
16427,2022-01-12,PLTR,0.018149910468931742,0.017890252416315155
7396,2022-01-12,PM,0.005366261976930763,0.0035592885744726043
22995,2022-01-12,RTX,0.009562983281561214,0.009532087738313372
21353,2022-01-12,TMO,0.02636642060046289,0.018548542578050532
1649,2022-01-12,TSLA,0.03325723934846097,0.01726411908822176
13964,2022-01-12,UNH,0.02027321520307328,0.002766956791802051
23816,2022-01-12,VZ,0.015664003739288064,0.00212293411716414
25458,2022-01-12,WFC,0.005624917085285292,0.0034451683589740907
10680,2022-01-12,WMT,0.006902168345730611,0.0017267721899937249
4113,2022-01-13,AAPL,0.008998742383581492,0.018032382667315935
18070,2022-01-13,ABT,0.009142445355391505,0.015215704339450653
20533,2022-01-13,ACHR,0.06664475938780266,0.045512521567683574
30385,2022-01-13,ACN,0.0013376500800421798,0.02822886403853895
11502,2022-01-13,AMZN,0.016270479637680052,0.024090931306828902
9860,2022-01-13,BRK-B,0.0028886474693885335,0.0005061743086761469
4934,2022-01-13,COST,0.02260179390687753,0.013685505042745372
27101,2022-01-13,CRM,0.00849798196806345,0.0329371274276091
13144,2022-01-13,CRWD,0.03473935838132134,0.04511300530617935
24638,2022-01-13,CVX,0.01472963124416485,0.015848932011257238
14786,2022-01-13,GOOG,0.0006611611742911225,0.01663912775578973
3292,2022-01-13,GOOGL,0.0025420829862436082,0.017469831786101005
12323,2022-01-13,HD,0.011416224863193682,0.006787908404889291
26280,2022-01-13,IBM,0.011399203141233667,0.013432364018248797
17249,2022-01-13,INTU,0.0087890664763397,0.02926974060498424
27922,2022-01-13,ISRG,0.012019150950862164,0.019310528564174274
18891,2022-01-13,JNJ,0.002874853947745945,0.0022842054115927157
2471,2022-01-13,JPM,0.002705224736668181,0.00352748114716996
5755,2022-01-13,KO,0.0007220285770819659,0.002964971236684474
829,2022-01-13,MCD,0.002793594506100793,0.00531370852592637
8218,2022-01-13,META,0.015783176243023365,0.01983744381240111
28743,2022-01-13,MRK,0.019047084191750198,0.0051537805572143495
15607,2022-01-13,MSFT,0.005222958927272459,0.028398812255234353
6576,2022-01-13,NFLX,0.004265127504437937,0.018462312339024605
9039,2022-01-13,NVDA,0.0052972331788878006,0.03590843521417102
19712,2022-01-13,ORCL,0.015231085305799167,0.003528833155730949
22175,2022-01-13,PEP,0.0008101713689985786,0.0014130461727034714
8,2022-01-13,PG,0.00861788463094737,0.006897288248271851
29564,2022-01-13,PGR,0.010314423214791599,0.00957625324536268
16428,2022-01-13,PLTR,0.017890252416315155,0.03305233305944262
7397,2022-01-13,PM,0.0035592885744726043,0.0013795672181850026
22996,2022-01-13,RTX,0.009532087738313372,0.003780633318801046
21354,2022-01-13,TMO,0.018548542578050532,0.023728762444975855
1650,2022-01-13,TSLA,0.01726411908822176,0.05462916421102767
13965,2022-01-13,UNH,0.002766956791802051,0.013074932287126228
23817,2022-01-13,VZ,0.00212293411716414,0.003276325555117247
25459,2022-01-13,WFC,0.0034451683589740907,0.010129611242713922
10681,2022-01-13,WMT,0.0017267721899937249,0.010581089082321473
4114,2022-01-14,AAPL,0.018032382667315935,0.013264023471793746
18071,2022-01-14,ABT,0.015215704339450653,0.008216073455260445
20534,2022-01-14,ACHR,0.045512521567683574,0.020494491480584534
30386,2022-01-14,ACN,0.02822886403853895,0.0252310301789055
11503,2022-01-14,AMZN,0.024090931306828902,0.015696561926642354
9861,2022-01-14,BRK-B,0.0005061743086761469,0.0038658912469553353
4935,2022-01-14,COST,0.013685505042745372,0.017538423369432284
27102,2022-01-14,CRM,0.0329371274276091,0.029299760394215144
13145,2022-01-14,CRWD,0.04511300530617935,0.040497756415762226
24639,2022-01-14,CVX,0.015848932011257238,0.01248732051013399
14787,2022-01-14,GOOG,0.01663912775578973,0.015376653955416248
3293,2022-01-14,GOOGL,0.017469831786101005,0.01720539744010903
12324,2022-01-14,HD,0.006787908404889291,0.02354823984057325
26281,2022-01-14,IBM,0.013432364018248797,0.006661475991308256
17250,2022-01-14,INTU,0.02926974060498424,0.02251315454080269
27923,2022-01-14,ISRG,0.019310528564174274,0.008560918386387291
18892,2022-01-14,JNJ,0.0022842054115927157,0.0016267744274908477
2472,2022-01-14,JPM,0.00352748114716996,0.03692580700985705
5756,2022-01-14,KO,0.002964971236684474,0.00334858919937814
830,2022-01-14,MCD,0.00531370852592637,0.0080665255638995
8219,2022-01-14,META,0.01983744381240111,0.01849179122365163
28744,2022-01-14,MRK,0.0051537805572143495,0.0039795942596196655
15608,2022-01-14,MSFT,0.028398812255234353,0.03276687710738595
6577,2022-01-14,NFLX,0.018462312339024605,0.023127328966192573
9040,2022-01-14,NVDA,0.03590843521417102,0.03542556082092562
19713,2022-01-14,ORCL,0.003528833155730949,0.0025462805345107214
22176,2022-01-14,PEP,0.0014130461727034714,0.004880298044795561
9,2022-01-14,PG,0.006897288248271851,0.007067880394389586
29565,2022-01-14,PGR,0.00957625324536268,0.007153650721224344
16429,2022-01-14,PLTR,0.03305233305944262,0.022189314523327477
7398,2022-01-14,PM,0.0013795672181850026,0.0042006357223308135
